"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",72.553133924286,3.29282616594699,22.0336969727098,7.10696255519728e-82
"schoolTAMSA",-6.94861034238839,2.71871690450558,-2.55584181305263,0.010806311062481
"schoolTAMU",-2.26240598703992,1.42336796359902,-1.58947373054496,0.112411541497068
"schoolTSU",-2.87672635658754,2.15506208162755,-1.3348693669256,0.182359372318318
"schoolUNTB",-3.55199724490361,1.71607601384612,-2.0698367766022,0.0388392106974874
"schoolUNTW",-1.21958610407209,1.85760561818791,-0.656536614731922,0.511697808294975
"schoolUTXW",5.57911448928419,1.72515398723393,3.23398057829587,0.00127895862891777
"classJR",0.66665208099905,1.68905898570669,0.394688454719731,0.693194791673863
"classSO",0.346705371872795,1.09347265629449,0.317068167984825,0.751287789460178
"classSR",6.44873509435776,2.85261112026495,2.2606429066149,0.0240921314918358
"gender1",-1.90428913993877,0.834623496942099,-2.28161458060517,0.0228158515310772
"gendermissing",-7.97137780209168,4.30204214367344,-1.85292880354841,0.0643193298993585
"ethnicityBlack",-1.30034250642517,2.20164578343409,-0.590622940442724,0.554966485519425
"ethnicityHisp",-2.32650595213087,1.63370947611525,-1.42406344955714,0.154880167932866
"ethnicityMixed",-0.13855872342492,2.03963534586249,-0.0679330860322625,0.945858580991212
"ethnicityOther",2.34000501255491,2.51441138255228,0.930637296980285,0.352366695515865
"ethnicityWhite",1.47785724695162,1.59086081010537,0.92896703317101,0.353231031565136
"parentOther",-0.410948766807421,2.89770429772366,-0.141818738071462,0.887264579494639
"parentY",2.40988568939899,1.11143349613946,2.16826800503105,0.0304793597117088
"grandOther",-1.03960796616982,1.31599813532678,-0.789976777521554,0.429812726565116
"grandY",0.44556707924004,1.09053870379785,0.408575209378936,0.682978194660185
"hrs_work1-10",0.701237896224391,1.60640355454096,0.436526608922235,0.662591256738616
"hrs_work11-19",-2.22814498822057,1.43324973268111,-1.55461043348845,0.120497404121481
"hrs_work20-29",-5.08284841237928,1.70487065318349,-2.98136894015281,0.00297065304649712
"hrs_work30-39",-0.989201524917175,2.97126732066459,-0.332922426076399,0.739293968394335
"hrs_work40+",-10.4673651044046,5.41713339503609,-1.93227014014389,0.0537351914381266
"tx_birthY",-4.51884939517972,2.37267540152399,-1.90453754958526,0.0572557991670883
"must",1.18990970730494,0.0947196648987052,12.5624357790692,9.63446354679203e-33
