"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.28736224907739,1.77813254758871,-0.723996785741959,0.469067708394324
"schoolTAMSA",-0.722005696622273,0.708246432027831,-1.01942722754712,0.308000185397075
"schoolTAMU",-0.49768144199364,0.472159851362534,-1.05405286060951,0.29185871644181
"schoolTSU",-0.869903973020119,0.601869770724711,-1.44533587718265,0.148363565092576
"schoolUNT",-0.371655277210713,0.484554071039638,-0.767004756380039,0.443078687584602
"schoolUTXW",1.35379934654381,0.611487154765987,2.21394568306493,0.0268325156489637
"classJR",1.43680771605951,0.580161695885613,2.47656425139587,0.0132653746225778
"classSO",0.42880653469338,0.311362170819967,1.37719535280771,0.168451858243873
"classSR",1.84224153126963,1.15291883939396,1.59789351021276,0.110066678651302
"gender0",0.845736320969898,1.13023870842845,0.748281150400398,0.454290591709937
"gender1",0.678304349289875,1.15172565922331,0.588946112173363,0.55589742330767
"ethnicBlack",-1.00778976481552,0.676763391981747,-1.48913161786786,0.136452713356008
"ethnicHispanic",-1.29879331265685,0.547370339070752,-2.37278716063015,0.0176544338431419
"ethnicMixed",-0.939628481911896,0.638201799115942,-1.47230622541883,0.140938202948452
"ethnicOther",-1.51004500585266,0.766338462979803,-1.97046746157182,0.0487848205847696
"ethnicWhite",-0.620969180889628,0.563526601871295,-1.10193410360325,0.270490320845988
"majormed",1.27479096434693,0.68014185124823,1.87430160635957,0.0608888662530175
"majorother",0.661135520389645,0.763263337352586,0.86619583050173,0.386382779490369
"majorstem",0.957280887145219,0.674691774442174,1.41884179325691,0.155945145121275
"grandN",0.0445006273462993,0.385665176596245,0.115386687849412,0.908138630041019
"grandY",0.639241196098669,0.402574637995912,1.58788243412681,0.112312926293799
"parentN",-0.643864200449209,0.97154994804308,-0.662718578438604,0.507510808838475
"parentY",-0.151886832214009,0.935385011548508,-0.162378945930045,0.871007449515879
"emp_onY",-0.821139580966321,0.625378842409115,-1.31302744077988,0.189173701754193
"emp_offY",-0.623859354982454,0.608082908979586,-1.02594456408805,0.304917715179307
"hrs1-10",1.24392626758709,0.827406826684278,1.50340343766797,0.132735040659914
"hrs11-19",0.292632274156969,0.657291672545911,0.445209161137712,0.656168606871602
"hrs20-29",-0.44179042331165,0.726301804182864,-0.608273889404272,0.543005835519472
"hrs30-39",-0.324663179600231,1.11955931290768,-0.289991942237546,0.771822402032539
"hrs40+",-17.8821055226336,800.887974307883,-0.0223278487082879,0.982186434359887
"ver87",0.34388196815343,0.250848397558263,1.37087568228758,0.170413713131962
"MQ11",0.397768752458275,0.247972022014959,1.60408722413966,0.108694827596155
"MQ21",0.537263750719006,0.328723645173312,1.63439338364524,0.102176276619903
"MQ31",0.00204890722887017,0.34790410654014,0.00588928727874551,0.995301055768971
"MQ41",-0.261147138852321,0.265222111342325,-0.984635623065588,0.324803085042045
"MQ51",-0.109848333807276,0.264083019300764,-0.415961367368985,0.677438272785807
"MQ61",-0.274596997321658,0.261779602208678,-1.04896254331826,0.294195358083454
"MQ71",0.314810641152319,0.330065399362186,0.953782619325304,0.340193689035244
"MQ81",-0.22349359642001,0.322101133757483,-0.693861563953025,0.4877690298005
"MQ91",0.195077505730959,0.287961276204648,0.677443537902371,0.498124582478063
"MQ101",0.351797616628124,0.285456700552363,1.23240272849574,0.217798682200489
"MQ111",0.773987280734754,0.293159172897201,2.64016054174829,0.00828667621298495
"MQ121",0.908539440066029,0.47548336807724,1.91077017843964,0.0560341216530346
"MQ131",-0.703763214992009,0.497133394592024,-1.41564260749282,0.156880169832343
"MQ141",0.215758920272338,0.304572269172602,0.708399753065065,0.478697045750086
"MQ151",0.572684588008571,0.337542165155488,1.69663125714906,0.0897663965218281
"MQ161",-0.119165697890161,0.301006613817748,-0.395890629706605,0.692185713942747
"MQ171",0.446431652942221,0.259804991498904,1.71833362541114,0.0857357794473772
"MQ181",0.804674182440275,0.299422700689101,2.68741875812479,0.00720066163765166
"MQ191",0.662617931824016,0.30765390102524,2.15377711648017,0.0312576551100159
"MQ201",-0.213606861340983,0.319915019480272,-0.667698758526574,0.50432590264008
